GENZ-FL;Genzyme Flanders  NV;Geel
GENZ-FR;Genzyme France;FR
GENZ-GE;GENZYME Germany;GE
GENZ-GR;GENZYME Greece;ATHENS
GENZ-IT;GENZYME Italy;IT
GENZ-MA;Genzyme Polyclonals SAS;Lyon cedex 07
GENZ-NI;GENZYME NEU ISENBURG;NI
GENZ-PT;Genzyme Portugal;PT
GENZ-ZA;Genzyme Belgium NV;Zaventem
GINAF;GINAF Trucks bv;Veenendaal
GNR-BRX;GN ReSound NV/SA;Groot-Bijgaarden
GVS-BRE;Grass Valley Nederland BV;Breda
GVS-POL;Grass Valley Nederland BV;Piaseczno
HEIJMANS;HEIJMANS;Rosmalen
HIL-GER;HYDRAULIK-RING  GmbH;Nuertingen
HIL-MAR;HILITE International;Marnaz
HPP-FRA;Huhtamaki Protective Packaging;Franeker
HSV-NL;HSV Beheer BV;Ede
HYDRO-US;HYDRO-AIR Components Inc;Buffalo
IMP-BEL;Imperbel NV;Beersel (Lot)
ITG-CORP;Imperial Tobacco;Joure
ITG-EFKA;EFKA GmbH;Trossingen
ITG-RIZ;RIZLA;Wilrijk
JAB-HAS;Jabil Circuit Belgium NV;Hasselt
JAB-POL;Jabil Circuit Poland sp. z.o.o.;Kwidzyn
JAB-SIN;Jabil Circuit;Singapore
JCI-AND;Johnson Controls;Brussels
JCI-BE;Johnson Controls Inc.;Diegem
JCI-BOBL;Johnson Controls Interiors GmbH;Boeblingen
JCI-BUR;Johnson Controls GmbH Automotive;Burscheid
JCI-BUT;MAJOR SKT OTO DONANIM SAN. Ve TIC;BURSA
JCI-CONF;Johnson Controls;Conflans s/ Lanterne
JCI-CRE;Johnson Controls;Creutzwald
JCI-GEEL;Johnson Controls Automotive NV;Geel
JCI-GENT;Johnson Controls Gent;Gent
JCI-GRA;Johnson Controls-NTU d.o.o.;Slovenj Gradec
JCI-ITL;Johnson Controls International;GEEL
JCI-LAH;Johnson Controls GmbH & Co KG;Dautphetal
JCI-MAD;Johnson Controls;Madrid
JCI-NAM;Johnson Controls;Namestovo
JCI-SCHW;Johnson Controls;Schweighouse
JCI-SLO;JOHNSON CONTROLS Itl  spol.s.r.o.;Lozorno
JCI-SPB;Johnson Controls Automotive Systems;Saint Petersburg
JCI-TOR;Johnson Controls Electronics;Torino
JCI-UBER;Johson Controls;Ueberherrn
JCI-VAL;Johnson Controls Automotive Spain;Valencia
JCM-GE;JAPAN CASHMACHINE Germany;Duesseldorf
